measure_id,measure_label,maps_to_node_id,measure_kind,analyte,specimen_or_device,biospecimen,device_type,proxy_type,time_aggregation,raw_unit,value_transform_spec,direction_rule_id,directionality_after_alignment,measure_family_id,compatibility_group_id,effective_window_days,min_required_samples,required_fields_json,preferred_norm_ref_id,preferred_noise_id,active,version,description,notes
MEAS_6MWT_DISTANCE,6MWT Walk Distance,NODE_SYM_DECONDITIONING,score,,questionnaire,,,self_report,point_in_time,meters,,DIR_REVERSE,higher_better,FAM_6MWT,COMPAT_6MWT,0,1,"{""value"": ""required""}",NORM_6MWT_AGE,NOISE_6MWT_T,1,v1.0,6MWT Walk Distance,Distance in meters; <400m significant impairment; age/sex/height adjusted
MEAS_8OHDG_CONC,8-OHdG Concentration,NODE_BIO_8OHDG,score,8-OHdG,questionnaire,,,self_report,point_in_time,ng_mL_or_ug_g_cr,,DIR_REVERSE,higher_better,FAM_8OHDG,COMPAT_8OHDG,0,1,"{""value"": ""required""}",NORM_8OHDG_HEALTHY,NOISE_8OHDG_T,1,v1.0,8-OHdG Concentration,Oxidative DNA damage marker; urinary preferred for stability; creatinine-corrected
MEAS_ACCEL_LIGHT,Accelerometry Light Exposure (>10k lux),NODE_BEH_LIGHT_EXPOSURE,score,,questionnaire,,,self_report,point_in_time,minutes_above_10k_lux,,DIR_REVERSE,higher_better,FAM_ACCEL,COMPAT_ACCEL,1,1,"{""value"": ""required""}",NORM_ACCEL_GENERAL,NOISE_ACCEL_LUX,1,v1.0,Accelerometry Light Exposure (>10k lux),Minutes >10k lux within 2h of waking; requires light-enabled actigraphy device
MEAS_ACCEL_SLEEP_EFF,Accelerometry Sleep Efficiency,NODE_BEH_SLEEP_QUALITY,score,,questionnaire,,,self_report,point_in_time,percent,,DIR_REVERSE,higher_better,FAM_ACCEL,COMPAT_ACCEL,1,1,"{""value"": ""required""}",NORM_ACCEL_GENERAL,NOISE_ACCEL_SE,1,v1.0,Accelerometry Sleep Efficiency,Objective sleep efficiency; ≥85% normal; 7-day mean from wrist actigraphy
MEAS_ACCEL_STEPS,Accelerometry Steps/Day,NODE_BEH_PHYSICAL_ACTIVITY,score,,questionnaire,,,self_report,point_in_time,steps_per_day,,DIR_REVERSE,higher_better,FAM_ACCEL,COMPAT_ACCEL,1,1,"{""value"": ""required""}",NORM_ACCEL_GENERAL,NOISE_ACCEL_STEP,1,v1.0,Accelerometry Steps/Day,"Objective PA; 7-day mean; <5000 sedentary, 5000-7500 low active, >10000 active"
MEAS_ACTIGRAPHY_STEPS,Daily Step Count,NODE_EXERCISE,wearable,,actigraphy,,actigraphy,level,daily,steps,none,DIR_REVERSE,higher_better,FAM_ACTIVITY,COMPAT_EXERCISE,1,7,"{""daily_steps"": ""required""}",,,1,1,Accelerometry-derived daily step count,7-day average preferred
MEAS_AFI_ATTN_LAPSES,AFI Attentional Lapses Subscale,NODE_COG_ATTN_SUSTAINED,subscale,,questionnaire,,,subscale,weekly,points_0_10,,DIR_REVERSE,higher_better,FAM_AFI,COMPAT_AFI,7,1,"{""value"": ""required""}",NORM_AFI_CANCER,NOISE_AFI_AL,1,v1.0,AFI Attentional Lapses Subscale,Frequency of attentional lapses and distractibility
MEAS_AFI_EFFECTIVE_ACTION,AFI Effective Action Subscale,NODE_COG_EXEC_PLANNING,subscale,,questionnaire,,,subscale,weekly,points_0_10,,DIR_REVERSE,higher_better,FAM_AFI,COMPAT_AFI,7,1,"{""value"": ""required""}",NORM_AFI_CANCER,NOISE_AFI_EA,1,v1.0,AFI Effective Action Subscale,Goal-directed behavior and task completion items
MEAS_AFI_TOTAL,AFI Total Mean Score,NODE_SYM_COG_COMPLAINTS,score,,questionnaire,,,self_report,weekly,points_0_10,,DIR_REVERSE,higher_better,FAM_AFI,COMPAT_AFI,7,1,"{""value"": ""required""}",NORM_AFI_CANCER,NOISE_AFI,1,v1.0,AFI Total Mean Score,Mean of 16 items; primary CRCI endpoint in Oppegaard 2023
MEAS_AGE_YEARS,Age at Diagnosis (years),NODE_EXO_AGE,score,,questionnaire,,,self_report,point_in_time,years,,DIR_NONE,higher_worse,FAM_CLINICAL_AGE,COMPAT_AGE,0,1,"{""value"": ""required""}",NORM_AGE_POP,NOISE_AGE_T,1,v1.0,Age at Diagnosis (years),Continuous 18-100; Tier 0; Oppegaard sample mean 57.2 (SD 12.4)
