measure_id,measure_name,measure_short,parent_instrument_id,maps_to_node_id,measure_type,unit_of_measure,expected_range_min,expected_range_max,scoring_direction,clinical_cutoff_value,clinical_cutoff_direction,loading_b_k,intercept_a_k,reliability_alpha,reliability_type,cancer_validation_status,se_multiplier,assay_method,sample_type,collection_requirements,normative_population,norm_id,noise_id,time_resolution_days,aggregation_method,is_primary_for_node,alternative_measure_ids_json,somatic_confound_risk,mcid,floor_ceiling_risk,missing_data_strategy,tier_assignment,version,active,citation_key,notes,parameter_confidence
MEAS_AFI_TOTAL,AFI Total Mean Score,AFI-total,INST_AFI,NODE_SYM_COG_COMPLAINTS,total_score,points_0_10,0,10,higher_better,5.0,below,1.0,0.0,0.93,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology outpatients (Cimprich 2011),NORM_AFI_CANCER,NOISE_AFI,7,mean,1,"[""MEAS_FACTCOG_PCI_TOTAL"", ""MEAS_PROMIS_COG_TOTAL""]",low,1.0,none,require,0,v1.0,1,Cimprich2011,Mean of 16 items; primary CRCI endpoint in Oppegaard 2023,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_AFI_EFFECTIVE_ACTION,AFI Effective Action Subscale,AFI-EA,INST_AFI,NODE_COG_EXEC_PLANNING,subscale,points_0_10,0,10,higher_better,N/A,N/A,0.9,0.0,0.88,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology outpatients,NORM_AFI_CANCER,NOISE_AFI_EA,7,mean,0,[],low,N/A,none,optional,0,v1.0,1,Cimprich2011,Goal-directed behavior and task completion items,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_AFI_ATTN_LAPSES,AFI Attentional Lapses Subscale,AFI-AL,INST_AFI,NODE_COG_ATTN_SUSTAINED,subscale,points_0_10,0,10,higher_better,N/A,N/A,0.9,0.0,0.86,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Oncology outpatients,NORM_AFI_CANCER,NOISE_AFI_AL,7,mean,0,[],low,N/A,none,optional,0,v1.0,1,Cimprich2011,Frequency of attentional lapses and distractibility,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_FACTCOG_PCI_TOTAL,FACT-Cog PCI Total,PCI-total,INST_FACTCOG_PCI,NODE_SYM_COG_COMPLAINTS,subscale,points_0_80,0,80,higher_better,N/A,N/A,0.95,0.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer patients (Wagner 2009),NORM_FACTCOG_CANCER,NOISE_FACTCOG_PCI,7,sum,1,"[""MEAS_AFI_TOTAL"", ""MEAS_PROMIS_COG_TOTAL""]",low,4.0,ceiling,require,0,v1.0,1,Wagner2009,FACT-Cog v3 20-item PCI subscale; 0-4 per item; range 0-80; higher = better; MCID ~4 points; explicit v3 20-item scoring,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_FACTCOG_QOL,FACT-Cog Impact on QoL,FCog-QoL,INST_FACTCOG_PCI,NODE_SYM_COG_COMPLAINTS,subscale,points_0_16,0,16,higher_better,N/A,N/A,0.85,0.0,0.88,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Cancer patients,NORM_FACTCOG_CANCER,NOISE_FACTCOG_QOL,7,sum,0,[],low,N/A,none,optional,0,v1.0,1,Wagner2009,4-item impact on quality of life subscale,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PROMIS_COG_TOTAL,PROMIS Cognitive Function T-score,PROMIS-T,INST_PROMIS_COG,NODE_SYM_COG_COMPLAINTS,total_score,T_score_from_raw_8_40,20,80,higher_better,45,below,1.0,0.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,"US adult T-score (mean=50, SD=10)",NORM_PROMIS_US,NOISE_PROMIS_COG_T,7,sum,1,"[""MEAS_AFI_TOTAL"", ""MEAS_FACTCOG_PCI_TOTAL""]",low,3.0,none,require,0,v1.0,1,Cella2010,"IRT-based T-score (mean=50, SD=10); raw score 8-40 converted via scoring table; cutoff 45 on T-score; MCID ~3 T-score points",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_MOCA_TOTAL,MoCA Total Score,MoCA-total,INST_MOCA,NODE_COMP_CRCI,total_score,points_0_30,0,30,higher_better,26,below,0.83,0.0,0.83,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,Community adults ≥55,NORM_MOCA_GENERAL,NOISE_MOCA_TOTAL,0,sum,1,[],moderate,2.0,ceiling,require,0,v1.0,1,Nasreddine2005,Global screen; +1 education correction; ceiling effects in mild impairment,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_TMT_B_TIME,Trail Making B Completion Time,TMT-B-sec,INST_TMT_B,NODE_COG_PROC_SPEED,total_score,seconds,0,300,lower_better,180,above,-1.0,300.0,0.89,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age/education stratified (Tombaugh 2004),NORM_TMT_STRATIFIED,NOISE_TMT_B_TIME,0,last,1,[],moderate,15.0,floor,require,0,v1.0,1,Tombaugh2004,Time in seconds; lower = faster; practice effects ~5s per retest,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_HVLTR_TOTAL_RECALL,HVLT-R Total Recall (Trials 1-3),HVLTR-TR,INST_HVLTR,NODE_COG_EPISODIC_MEM,subscale,words_correct,0,36,higher_better,N/A,N/A,1.0,0.0,0.74,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Brandt & Benedict 2001),NORM_HVLTR_AGE,NOISE_HVLTR_TR,0,sum,1,"[""MEAS_HVLTR_DELAYED""]",low,N/A,none,require,0,v1.0,1,Brandt2001,Sum of words recalled across 3 learning trials; 12 words per list,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_HVLTR_DELAYED,HVLT-R Delayed Recall,HVLTR-DR,INST_HVLTR,NODE_COG_EPISODIC_MEM,subscale,words_correct,0,12,higher_better,N/A,N/A,1.0,0.0,0.72,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Brandt & Benedict 2001),NORM_HVLTR_AGE,NOISE_HVLTR_DR,0,last,0,"[""MEAS_HVLTR_TOTAL_RECALL""]",low,N/A,none,require,0,v1.0,1,Brandt2001,Free recall after 20-25 min delay; most sensitive to CRCI,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
