modifier_id,modifier_label,modifier_description,support_class,evidence_required,source_ler_ids,required_variable_ids_json,applies_to,parameterization_mode,effect_spec_json,bounds_json,missing_input_policy,conflict_input_policy,scope_json,version,active,notes
MOD_AGE_GT65,Age > 65,Effect attenuation for patients older than 65 years; accelerated cognitive decline trajectory,B,1,,"{""age"": ""required""}",all_edges,multiplicative,"{""condition"": ""age > 65"", ""multiplier"": 0.85}","{""min"": 0.7, ""max"": 1.0}",skip,average,,1,1,Demographic modifier — aging effects on CRCI recovery
MOD_AGE_GT75,Age > 75,Stronger effect attenuation for patients older than 75 years; compounded neurodegenerative risk,C,2,,"{""age"": ""required""}",all_edges,multiplicative,"{""condition"": ""age > 75"", ""multiplier"": 0.75}","{""min"": 0.6, ""max"": 0.9}",skip,average,,1,1,Demographic modifier — advanced age
MOD_APOE_E4,APOE ε4 carrier,APOE ε4 allele carrier status increases vulnerability to chemotherapy-related cognitive decline,C,2,,"{""apoe_status"": ""required""}",all_edges,multiplicative,"{""condition"": ""apoe_status == e4_carrier"", ""multiplier"": 0.80}","{""min"": 0.6, ""max"": 1.0}",skip,average,,1,1,Genetic modifier — APOE ε4 risk allele
MOD_EDUCATION_HIGH,Education > 16 years,Cognitive reserve from higher education provides modest protective effect,B,1,,"{""education_years"": ""required""}",all_edges,multiplicative,"{""condition"": ""education_years > 16"", ""multiplier"": 1.15}","{""min"": 1.0, ""max"": 1.3}",skip,average,,1,1,Demographic modifier — cognitive reserve
MOD_DEPRESSION,Depression comorbidity,Comorbid depression exacerbates cognitive symptoms and reduces intervention efficacy,B,1,,"{""depression_comorbidity"": ""required""}",all_edges,multiplicative,"{""condition"": ""depression_comorbidity == yes"", ""multiplier"": 0.85}","{""min"": 0.7, ""max"": 1.0}",skip,average,,1,1,Comorbidity modifier — depression overlap with CRCI
MOD_ANXIETY,Anxiety comorbidity,Comorbid anxiety contributes to attention and processing speed deficits,B,1,,"{""anxiety_comorbidity"": ""required""}",all_edges,multiplicative,"{""condition"": ""anxiety_comorbidity == yes"", ""multiplier"": 0.90}","{""min"": 0.75, ""max"": 1.0}",skip,average,,1,1,Comorbidity modifier — anxiety overlap
MOD_CHEMO_CYCLES_GT6,Chemotherapy > 6 cycles,Cumulative neurotoxicity from extended chemotherapy regimens,C,2,,"{""prior_chemo_cycles"": ""required""}",all_edges,multiplicative,"{""condition"": ""prior_chemo_cycles > 6"", ""multiplier"": 0.80}","{""min"": 0.6, ""max"": 1.0}",skip,average,,1,1,Treatment history modifier — dose-dependent neurotoxicity
MOD_TIME_POST_TX_GT24,Time since treatment > 24mo,Partial spontaneous recovery in patients > 24 months post-treatment,B,1,,"{""months_since_treatment"": ""required""}",all_edges,multiplicative,"{""condition"": ""months_since_treatment > 24"", ""multiplier"": 1.10}","{""min"": 1.0, ""max"": 1.3}",skip,average,,1,1,Treatment history — longer recovery window
MOD_TIME_POST_TX_GT12,Time since treatment > 12mo,Modest spontaneous recovery in patients > 12 months post-treatment,B,1,,"{""months_since_treatment"": ""required""}",all_edges,multiplicative,"{""condition"": ""months_since_treatment > 12"", ""multiplier"": 1.05}","{""min"": 1.0, ""max"": 1.2}",skip,average,,1,1,Treatment history — moderate recovery window
MOD_EXERCISE_HABIT,Regular exercise habit,Pre-existing regular exercise confers cognitive resilience,B,1,,"{""exercise_habit"": ""required""}",all_edges,multiplicative,"{""condition"": ""exercise_habit == regular"", ""multiplier"": 1.10}","{""min"": 1.0, ""max"": 1.3}",skip,average,,1,1,Lifestyle modifier — exercise-mediated neuroprotection
MOD_SLEEP_POOR,Poor sleep quality,Poor baseline sleep quality impairs cognitive function and blunts intervention response,B,1,,"{""sleep_quality"": ""required""}",all_edges,multiplicative,"{""condition"": ""sleep_quality == poor"", ""multiplier"": 0.90}","{""min"": 0.75, ""max"": 1.0}",skip,average,,1,1,Lifestyle modifier — sleep disruption effect
MOD_HORMONAL_TX,Hormonal therapy,Ongoing hormonal therapy (e.g. tamoxifen or aromatase inhibitors) has independent cognitive effects,C,2,,"{""hormonal_therapy"": ""required""}",all_edges,multiplicative,"{""condition"": ""hormonal_therapy == yes"", ""multiplier"": 0.90}","{""min"": 0.75, ""max"": 1.0}",skip,average,,1,1,Treatment modifier — anti-estrogen cognitive effects
MOD_MENOPAUSAL,Post-menopausal status,Post-menopausal hormonal changes compound cognitive vulnerability,C,2,,"{""menopausal_status"": ""required""}",all_edges,multiplicative,"{""condition"": ""menopausal_status == post"", ""multiplier"": 0.92}","{""min"": 0.8, ""max"": 1.0}",skip,average,,1,1,Demographic modifier — menopausal status
MOD_BMI_OBESE,BMI > 30 (obese),Obesity-related neuroinflammation and metabolic effects on cognition,B,1,,"{""bmi"": ""required""}",all_edges,multiplicative,"{""condition"": ""bmi > 30"", ""multiplier"": 0.90}","{""min"": 0.75, ""max"": 1.0}",skip,average,,1,1,Health status modifier — obesity
MOD_DIABETES,Diabetes comorbidity,Diabetes-related vascular and metabolic effects on brain health,C,2,,"{""diabetes"": ""required""}",all_edges,multiplicative,"{""condition"": ""diabetes == yes"", ""multiplier"": 0.88}","{""min"": 0.7, ""max"": 1.0}",skip,average,,1,1,Comorbidity modifier — diabetes
