node_id,node_label,node_symbol,node_role,orientation,node_domain,node_subtype,default_state_space,state_update_scale,default_window_days,min_observation_window_days,allowed_source_types_json,is_actionable_input_node,active,version,description,notes
NODE_BEH_COG_ACTIVITY,Cognitive Activity Level,activity,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Engagement in cognitively stimulating activities (cognitive training, reading, puzzles, learning). Target of cognitive rehabilitation interventions. Drives neuroplasticity and synaptic function.",
NODE_BEH_DIET,Dietary Pattern,diet,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Dietary pattern quality (Mediterranean diet adherence, anti-inflammatory diet score). Targets neuroinflammation, oxidative stress, gut-brain axis, and metabolic pathways.",
NODE_BEH_LIGHT_EXPOSURE,Light Exposure Pattern,light_exposure,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Morning bright light exposure. Target of bright light therapy intervention (threshold model, -0.30 effect at >=20 min/day). Regulates circadian rhythm → sleep quality → HPA axis.",
NODE_BEH_PHYSICAL_ACTIVITY,Physical Activity Level,physical_activity,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Weekly physical activity level. Primary intervention target for exercise interventions. Dose-response modeled via Emax/Hill functions (EC50 ~200 MET-min/wk for aerobic). Member of Fatigue-Activity feedback loop (LOOP_01).,
NODE_BEH_SELF_EFFICACY,Self-Efficacy / Adherence Motivation,self_efficacy,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Self-efficacy for behavior change and intervention adherence. Modulates actual adherence rates (P_adhere in SAFE score). Connected to dopaminergic motivation pathway. Impacted by fatigue and mood.,
NODE_BEH_SLEEP_QUALITY,Sleep Quality/Hygiene,sleep_quality,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Sleep quality as a BEHAVIOR (sleep practices, hygiene). Distinct from NODE_SYM_SLEEP_DISRUPTION (the symptom). Target of CBT-I and sleep hygiene interventions. Drives glymphatic clearance pathway.",
NODE_BEH_SOCIAL_ENGAGE,Social Engagement Level,social_engage,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Social engagement and participation level. Drives cognitive stimulation through social interaction. Impacted by fatigue and depression (C5 pathway). Modulates neuroplasticity.,
NODE_BEH_STRESS_MGMT,Stress Management Practice,stress_mgmt,observable,pos_up,lifestyle_behavior,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Active stress management behavior (mindfulness, meditation, relaxation practice). Target of MBSR intervention. Modulates HPA axis and mood pathways.",
NODE_BIO_8OHDG,8-Hydroxy-2'-Deoxyguanosine,8ohdg,observable,pos_down,cellular_damage,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Urinary or plasma 8-OHdG. Marker of oxidative DNA damage. Proxy for oxidative stress component of OIC composite. Elevated by chemotherapy-induced reactive oxygen species.,
NODE_BIO_BDNF,Brain-Derived Neurotrophic Factor,bdnf,observable,pos_up,neurotrophic,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"PLASMA BDNF (NOT serum — serum levels 20-200x higher due to platelet BDNF, confounding measurement). Primary proxy for neuroplasticity pathway. Increased by exercise, reduced by chronic stress. Anti-correlated with IL-6 (ρ=-0.35).",
NODE_BIO_CORTISOL,Cortisol Diurnal Slope,cortisol,observable,pos_down,neuroendocrine,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Salivary cortisol diurnal slope (>=2 days sampling). Flatter/less-negative slope indicates HPA dysregulation (POS_DOWN: higher raw value = flatter = worse). Primary proxy for HPA pathway. Requires multi-timepoint sampling (waking, +30min, afternoon, evening). Correlated with IL-6 (ρ=0.28).",
NODE_BIO_CRP,C-Reactive Protein,crp,observable,pos_down,inflammatory,observable,z,weekly,7,3,"[""instrument""]",0,1,1,High-sensitivity CRP (serum). Acute phase reactant downstream of IL-6. Less specific to neuroinflammation than IL-6 but more widely available clinically. Correlated with IL-6 (ρ=0.72).,
NODE_BIO_GH2AX,Gamma-H2AX Foci,gh2ax,observable,pos_down,cellular_damage,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Lymphocyte γ-H2AX foci count by immunofluorescence. Direct marker of DNA double-strand breaks. Elevated by chemotherapy and radiation. Primary proxy for DNA damage pathway.,
NODE_BIO_GLUCOSE,Fasting Glucose,glucose,observable,pos_down,metabolic,observable,z,weekly,7,3,"[""instrument""]",0,1,1,Fasting blood glucose. Proxy for metabolic dysregulation pathway. Insulin resistance impairs cerebral glucose metabolism and drives neuroinflammation. Elevated by dexamethasone and some chemotherapy regimens.,
NODE_BIO_IL6,Interleukin-6,il6,observable,pos_down,inflammatory,observable,z,weekly,7,3,"[""instrument""]",0,1,1,"Plasma IL-6 concentration. Primary peripheral proxy for neuroinflammation (OIC composite). Elevated by chemotherapy, reduced by exercise. Correlated with TNF-α (ρ=0.65), CRP (ρ=0.72).",
