doi,edge_relation_id,effect_value_reported,se_reported,effect_type_reported,effect_size_type,N_effect,study_design,cancer_type,treatment_phase,upstream_instrument_id,notes,ci_low_reported,ci_high_reported,p_value,n_treatment,n_control,sd_x,sd_y,cancer_validation_status,rob_overall,pub_year,covariates_adjusted,endpoint_vs_change,comparison_arm_label,se_derivation_level,shared_control_flag,extraction_snippet
10.1186/s12885-025-14430-3,ER_OIC_PROCSPEED,-0.548,0.251,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline IL-6 → response speed (CANTAB reaction time RCI) from LMM; p=0.047 direction=worse; BACK-CALCULATED: no β reported in Table 3 (qualitative summary only); df assumed=55 (Satterthwaite conservative for n=66 AYAC LMM); t=2.032; partial_r=0.264; d=2r/sqrt(1-r²)=0.548; sign negative (higher IL-6 → worse processing speed); SE_d=sqrt(4/66+d²/(2×66))=0.251; AIC-guided model building selected biomarkers+confounders; same ACTS cohort as Ng 2023; supp data not available",,,0.047,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-6 was significantly associated with worse response speed (Table 3, p = 0.047) in AIC-guided linear mixed model adjusted for baseline cognition and chemotherapy status."
10.1186/s12885-025-14430-3,ER_OIC_ATTNSUST,-0.583,0.251,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline IL-6 → attention (CANTAB RVP RCI) from LMM; p=0.035 direction=worse; BACK-CALCULATED: no β reported in Table 3 (qualitative summary only); df assumed=55 (Satterthwaite conservative for n=66 AYAC LMM); t=2.162; partial_r=0.280; d=2r/sqrt(1-r²)=0.583; sign negative (higher IL-6 → worse attention); SE_d=sqrt(4/66+d²/(2×66))=0.251; AIC-guided model building; same ACTS cohort as Ng 2023; supp data not available",,,0.035,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-6 was significantly associated with worse attention (Table 3, p = 0.035) in AIC-guided linear mixed model adjusted for baseline cognition and chemotherapy status."
10.1186/s12885-025-14430-3,ER_OIC_EPISODIC,0.810,0.256,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline TNF-α → memory (CANTAB PAL RCI) from LMM; p=0.004 direction=BETTER (contra-directional); BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=3.005; partial_r=0.376; d=0.810; POSITIVE sign = higher TNF-α → better memory; CONTRA expected OIC→cognition direction; TNF-α may have dual role (low-level neuroprotection) or reflects treatment response; SE_d=sqrt(4/66+d²/(2×66))=0.256; AIC-guided model; same ACTS cohort as Ng 2023; supp data not available",,,0.004,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline TNF-α was significantly associated with better memory (Table 3, p = 0.004). CONTRA-DIRECTIONAL: expected OIC→episodic_memory is negative but this finding is positive. TNF-α may have neuroprotective role at lower levels."
10.1186/s12885-025-14430-3,ER_OIC_MULTITASK,-0.617,0.252,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline IL-6 → multitasking (CANTAB multitasking RCI) from LMM; p=0.026 direction=worse; BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=-2.287; partial_r=-0.295; d=-0.617; sign negative (higher IL-6 → worse multitasking); SE_d=sqrt(4/66+d²/(2×66))=0.252; AIC-guided model building; same ACTS cohort as Ng 2023; NEW EDGE ER_OIC_MULTITASK created to capture this finding",,,0.026,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-6 was significantly associated with worse multitasking (Table 3, p = 0.026) in AIC-guided linear mixed model."
10.1186/s12885-025-14430-3,ER_OIC_MULTITASK,-0.621,0.252,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline TNF-α → multitasking (CANTAB multitasking RCI) from LMM; p=0.025 direction=worse; BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=-2.298; partial_r=-0.296; d=-0.621; sign negative (higher TNF-α → worse multitasking); SE_d=sqrt(4/66+d²/(2×66))=0.252; AIC-guided model; TNF-α shows mixed effects — protective for memory but harmful for multitasking",,,0.025,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline TNF-α was significantly associated with worse multitasking (Table 3, p = 0.025) in AIC-guided linear mixed model."
10.1186/s12885-025-14430-3,ER_OIC_MULTITASK,0.810,0.256,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline IL-8 → multitasking (CANTAB multitasking RCI) from LMM; p=0.004 direction=BETTER (contra-directional); BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=3.005; partial_r=0.376; d=+0.810; POSITIVE sign = higher IL-8 → better multitasking; CONTRA expected OIC→cognition direction; IL-8 may have compensatory signaling role; NEW NODE NODE_BIO_IL8 used; SE_d=sqrt(4/66+d²/(2×66))=0.256",,,0.004,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-8 was significantly associated with BETTER multitasking (Table 3, p = 0.004). CONTRA-DIRECTIONAL: expected OIC→multitasking is negative but this finding is positive."
10.1186/s12885-025-14430-3,ER_NEUROPLAST_PROCSPEED,0.609,0.252,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_CANTAB,"Post-baseline BDNF → response speed (CANTAB reaction time RCI) from LMM; p=0.028 direction=better; BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=2.259; partial_r=0.291; d=+0.609; POSITIVE sign = higher BDNF → better processing speed; consistent with neuroprotective BDNF role; NEW EDGE ER_NEUROPLAST_PROCSPEED created to capture this finding; SE_d=sqrt(4/66+d²/(2×66))=0.252",,,0.028,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline BDNF was significantly associated with better response speed (Table 3, p = 0.028) in AIC-guided linear mixed model."
10.1186/s12885-025-14430-3,ER_OIC_COGCOMPLAINTS,0.677,0.253,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,INST_FACT_COG,"Post-baseline IL-10 → self-perceived cognition (FACT-Cog RCI) from LMM; p=0.015 direction=better; BACK-CALCULATED: no β reported in Table 3; df assumed=55; t=2.521; partial_r=0.322; d=+0.677; POSITIVE sign = higher IL-10 → better perceived cognition; IL-10 is anti-inflammatory — consistent with protective role; mapped to ER_OIC_COGCOMPLAINTS via IL-10→OIC(reduced)→perceived cognition",,,0.015,66,111,,,validated,moderate,2025,"baseline_cognition,chemotherapy_status,aic_selected_biomarkers_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-10 was significantly associated with better self-perceived cognition (Table 3, p = 0.015). IL-10 is anti-inflammatory; finding is directionally consistent."
10.1186/s12885-025-14430-3,ER_IL4_BDNF_CROSS,0.838,0.257,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,,"Post-baseline IL-4 → BDNF biomarker cross-edge from LMM; p=0.003 direction=positive; BACK-CALCULATED: no β reported; df assumed=55; t=3.129; partial_r=0.388; d=+0.838; higher IL-4 → higher BDNF; IL-4 is anti-inflammatory and may upregulate BDNF via neuroprotective pathways; NEW EDGE ER_IL4_BDNF_CROSS created; SE_d=sqrt(4/66+d²/(2×66))=0.257",,,0.003,66,111,,,validated,moderate,2025,"baseline_biomarkers,chemotherapy_status,aic_selected_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-4 was significantly associated with higher BDNF levels (Table 3, p = 0.003). Anti-inflammatory IL-4 may upregulate BDNF."
10.1186/s12885-025-14430-3,ER_IL10_BDNF_CROSS,-0.875,0.258,cohens_d,WITHIN_GROUP,66,cohort,mixed_solid,during_treatment,,"Post-baseline IL-10 → BDNF biomarker cross-edge from LMM; p=0.002 direction=NEGATIVE (contra-directional); BACK-CALCULATED: no β reported; df assumed=55; t=-3.252; partial_r=-0.402; d=-0.875; NEGATIVE sign = higher IL-10 → LOWER BDNF; CONTRA expected: IL-10 is anti-inflammatory so expected to support BDNF; may reflect complex feedback loop or compensatory downregulation; NEW EDGE ER_IL10_BDNF_CROSS",,,0.002,66,111,,,validated,moderate,2025,"baseline_biomarkers,chemotherapy_status,aic_selected_confounders",change,within-group AYAC,from_formula,false,"Among AYAC, higher post-baseline IL-10 was significantly associated with LOWER BDNF (Table 3, p = 0.002). CONTRA-DIRECTIONAL: IL-10 is anti-inflammatory but negatively associated with BDNF."
