instrument_id,instrument_name,instrument_short,instrument_type,maps_to_node_id,maps_to_node_ids_json,scoring_direction,response_type,item_count,subscale_count,subscale_names_json,total_score_range_min,total_score_range_max,time_window_days,administration_minutes,loading_b_k,intercept_a_k,reliability_alpha,reliability_type,cancer_validation_status,se_multiplier,clinical_cutoff_value,clinical_cutoff_direction,normative_population,tier_assignment,norm_id,noise_id,language,citation_key,administration_mode,somatic_confound_risk,version,active,notes
INST_AFI,Attentional Function Index,AFI,PRO,NODE_SYM_COG_COMPLAINTS,"[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING""]",higher_better,nrs,16,3,"[""effective_action"", ""interpersonal_effectiveness"", ""attentional_lapses""]",0,10,7,5,1.0,0.0,0.93,internal_consistency,validated_in_cancer,1.0,5.0,below,Oncology outpatients (Cimprich et al. 2011),0,NORM_AFI_CANCER,NOISE_AFI,English,Cimprich2011,self_report,low,v1.0,1,"Primary CRCI outcome in Oppegaard 2023; cutpoints: <5 low, 5-7.5 moderate, >7.5 high"
INST_FACTCOG_PCI,FACT-Cog Perceived Cognitive Impairments,FACT-Cog PCI,PRO,NODE_SYM_COG_COMPLAINTS,"[""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_VERBAL_FLUENCY""]",higher_better,likert,20,4,"[""perceived_cognitive_impairments"", ""comments_from_others"", ""perceived_cognitive_abilities"", ""impact_on_QoL""]",0,72,7,10,0.95,0.0,0.95,internal_consistency,validated_in_cancer,1.0,N/A,N/A,Cancer patients (Wagner et al. 2009),0,NORM_FACTCOG_CANCER,NOISE_FACTCOG,English,Wagner2009,self_report,low,v1.0,1,PCI subscale is primary; 4 subscales total; higher = better cognitive function
INST_PROMIS_COG,PROMIS Cognitive Function Short Form 8a,PROMIS-Cog,PRO,NODE_SYM_COG_COMPLAINTS,"[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING""]",higher_better,likert,8,1,"[""cognitive_function_total""]",20,40,7,3,1.0,0.0,0.95,internal_consistency,validated_in_cancer,1.0,45,below,"US adult population T-score metric (mean=50, SD=10)",0,NORM_PROMIS_US,NOISE_PROMIS_COG,English,Cella2010,self_report,low,v1.0,1,T-score metric; IRT-calibrated; cancer norms available
INST_MOCA,Montreal Cognitive Assessment,MoCA,neuropsych_test,NODE_COMP_CRCI,"[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_VISUOSPATIAL"", ""NODE_COG_LANGUAGE""]",higher_better,ordinal,30,7,"[""visuospatial_exec"", ""naming"", ""attention"", ""language"", ""abstraction"", ""delayed_recall"", ""orientation""]",0,30,0,10,0.83,0.0,0.83,internal_consistency,used_in_cancer,1.1,26,below,Community-dwelling adults ≥55 (Nasreddine et al. 2005),0,NORM_MOCA_GENERAL,NOISE_MOCA,English,Nasreddine2005,clinician,moderate,v1.0,1,Global cognitive screen; +1 point education correction if ≤12 years; somatic confound moderate (motor/visual items)
INST_TMT_B,Trail Making Test Part B,TMT-B,neuropsych_test,NODE_COG_PROC_SPEED,"[""NODE_COG_PROC_SPEED"", ""NODE_COG_EXEC_PLANNING""]",lower_better,continuous,1,1,"[""completion_time_seconds""]",0,300,0,5,-1.0,0.0,0.89,test_retest,used_in_cancer,1.1,180,above,Age/education-stratified norms (Tombaugh 2004),0,NORM_TMT_STRATIFIED,NOISE_TMT_B,English,Tombaugh2004,clinician,moderate,v1.0,1,Time in seconds; higher = worse; practice effects expected; somatic confound from motor speed
INST_HVLTR,Hopkins Verbal Learning Test-Revised,HVLT-R,neuropsych_test,NODE_COG_EPISODIC_MEM,"[""NODE_COG_EPISODIC_MEM"", ""NODE_COG_VERBAL_FLUENCY""]",higher_better,ordinal,12,4,"[""total_recall"", ""delayed_recall"", ""retention_pct"", ""recognition_discrimination""]",0,36,0,10,1.0,0.0,0.74,test_retest,used_in_cancer,1.1,N/A,N/A,Age-stratified norms (Brandt & Benedict 2001),0,NORM_HVLTR_AGE,NOISE_HVLTR,English,Brandt2001,clinician,low,v1.0,1,6 alternate forms; delayed recall most sensitive to CRCI; total recall over 3 trials
INST_CPT,Continuous Performance Test,CPT,neuropsych_test,NODE_COG_ATTN_SUSTAINED,"[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_ATTN_SELECTIVE""]",higher_better,continuous,1,3,"[""d_prime"", ""hit_rate"", ""commission_errors""]",0,1,0,15,1.0,0.0,0.85,test_retest,used_in_cancer,1.1,N/A,N/A,Age/sex-stratified norms (Conners 2014),2,NORM_CPT_STRATIFIED,NOISE_CPT,English,Conners2014,clinician,low,v1.0,1,d-prime is primary signal detection metric; computerized; ~14 min administration
INST_STROOP,Stroop Color-Word Test,Stroop,neuropsych_test,NODE_COG_EXEC_INHIBITION,"[""NODE_COG_EXEC_INHIBITION"", ""NODE_COG_ATTN_SELECTIVE"", ""NODE_COG_PROC_SPEED""]",higher_better,continuous,1,3,"[""word_reading"", ""color_naming"", ""interference""]",0,120,0,5,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,Age-stratified norms (Golden & Freshwater 2002),2,NORM_STROOP_AGE,NOISE_STROOP,English,Golden2002,clinician,low,v1.0,1,Interference score = primary; color-word minus predicted; higher = better inhibition
INST_DIGIT_SPAN,WAIS Digit Span,Digit Span,neuropsych_test,NODE_COG_WORK_MEM,"[""NODE_COG_WORK_MEM"", ""NODE_COG_ATTN_SUSTAINED""]",higher_better,ordinal,1,3,"[""forward"", ""backward"", ""sequencing""]",0,48,0,10,1.0,0.0,0.87,internal_consistency,used_in_cancer,1.1,N/A,N/A,WAIS-IV norms (Wechsler 2008),2,NORM_WAIS_STRATIFIED,NOISE_DIGIT_SPAN,English,Wechsler2008,clinician,low,v1.0,1,Backward span most sensitive to working memory; scaled score metric
INST_COWAT,Controlled Oral Word Association Test,FAS/COWAT,neuropsych_test,NODE_COG_VERBAL_FLUENCY,"[""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_EXEC_PLANNING""]",higher_better,continuous,1,2,"[""phonemic_fluency"", ""semantic_fluency""]",0,100,0,5,1.0,0.0,0.83,test_retest,used_in_cancer,1.1,N/A,N/A,Age/education/sex norms (Tombaugh et al. 1999),2,NORM_COWAT_STRATIFIED,NOISE_COWAT,English,Tombaugh1999,clinician,low,v1.0,1,FAS = phonemic (letters); animals = semantic; 60 seconds per trial
INST_TOL,Tower of London,ToL,neuropsych_test,NODE_COG_EXEC_PLANNING,"[""NODE_COG_EXEC_PLANNING"", ""NODE_COG_WORK_MEM""]",higher_better,ordinal,1,2,"[""total_correct"", ""total_moves""]",0,36,0,15,1.0,0.0,0.79,test_retest,used_in_cancer,1.1,N/A,N/A,Age-stratified norms (Culbertson & Zillmer 2001),2,NORM_TOL_AGE,NOISE_TOL,English,Culbertson2001,clinician,low,v1.0,1,Planning efficiency; total correct in minimum moves; age-sensitive
INST_REY_COPY,Rey Complex Figure Test — Copy,Rey-Copy,neuropsych_test,NODE_COG_VISUOSPATIAL,"[""NODE_COG_VISUOSPATIAL"", ""NODE_COG_EXEC_PLANNING""]",higher_better,continuous,1,2,"[""copy_accuracy"", ""copy_time""]",0,36,0,10,1.0,0.0,0.76,inter_rater,used_in_cancer,1.1,N/A,N/A,Age-stratified norms (Meyers & Meyers 1995),2,NORM_REY_AGE,NOISE_REY_COPY,English,Meyers1995,clinician,low,v1.0,1,18-element scoring system; copy condition primary for visuospatial; delayed recall for episodic memory
INST_BNT,Boston Naming Test,BNT,neuropsych_test,NODE_COG_LANGUAGE,"[""NODE_COG_LANGUAGE"", ""NODE_COG_VERBAL_FLUENCY""]",higher_better,ordinal,60,1,"[""total_correct""]",0,60,0,15,1.0,0.0,0.9,internal_consistency,used_in_cancer,1.1,N/A,N/A,Age/education norms (Kaplan et al. 2001),2,NORM_BNT_STRATIFIED,NOISE_BNT,English,Kaplan2001,clinician,low,v1.0,1,Confrontation naming; 60-item version; 15-item short forms available
INST_FACIT_FATIGUE,FACIT-Fatigue Scale,FACIT-F,PRO,NODE_SYM_FATIGUE,"[""NODE_SYM_FATIGUE""]",higher_better,likert,13,1,"[""fatigue_total""]",0,52,7,5,1.0,0.0,0.95,internal_consistency,validated_in_cancer,1.0,30,below,Cancer patients (Yellen et al. 1997),1,NORM_FACIT_CANCER,NOISE_FACIT_F,English,Yellen1997,self_report,none,v1.0,1,Higher = less fatigue; 0-52 range; MCID = 3 points; Tier 1
INST_BFI,Brief Fatigue Inventory,BFI,PRO,NODE_SYM_FATIGUE,"[""NODE_SYM_FATIGUE""]",lower_better,nrs,9,2,"[""fatigue_severity"", ""fatigue_interference""]",0,10,1,3,-1.0,10.0,0.96,internal_consistency,validated_in_cancer,1.0,4.0,above,Cancer patients (Mendoza et al. 1999),1,NORM_BFI_CANCER,NOISE_BFI,English,Mendoza1999,self_report,none,v1.0,1,"0-10 scale; ≥4 moderate, ≥7 severe; alternative to FACIT-F"
INST_LFS,Lee Fatigue Scale,LFS,PRO,NODE_SYM_FATIGUE,"[""NODE_SYM_FATIGUE""]",lower_better,nrs,18,2,"[""fatigue_morning"", ""fatigue_evening""]",0,10,1,5,-1.0,10.0,0.96,internal_consistency,validated_in_cancer,1.0,3.2,above,Oncology patients (Lee et al. 1991),1,NORM_LFS_CANCER,NOISE_LFS,English,Lee1991,self_report,none,v1.0,1,"Oppegaard 2023 indicator; cutoffs: morning >3.2, evening >5.6"
INST_PHQ9,Patient Health Questionnaire-9,PHQ-9,PRO,NODE_SYM_DEPRESSION,"[""NODE_SYM_DEPRESSION""]",lower_better,likert,9,1,"[""depression_severity""]",0,27,14,3,-1.0,27.0,0.89,internal_consistency,validated_in_cancer,1.0,10,above,Primary care and cancer populations (Kroenke et al. 2001),1,NORM_PHQ9_CANCER,NOISE_PHQ9,English,Kroenke2001,self_report,moderate,v1.0,1,Somatic items overlap with cancer symptoms; 5/10/15/20 severity thresholds
INST_CESD,Center for Epidemiological Studies Depression Scale,CES-D,PRO,NODE_SYM_DEPRESSION,"[""NODE_SYM_DEPRESSION""]",lower_better,likert,20,4,"[""depressed_affect"", ""positive_affect"", ""somatic_retarded_activity"", ""interpersonal""]",0,60,7,5,-1.0,60.0,0.9,internal_consistency,validated_in_cancer,1.0,16,above,General population (Radloff 1977); cancer norms available,1,NORM_CESD_GENERAL,NOISE_CESD,English,Radloff1977,self_report,moderate,v1.0,1,Oppegaard 2023 indicator; somatic items overlap with cancer; cutoff ≥16
INST_GAD7,Generalized Anxiety Disorder-7,GAD-7,PRO,NODE_SYM_ANXIETY,"[""NODE_SYM_ANXIETY""]",lower_better,likert,7,1,"[""anxiety_severity""]",0,21,14,3,-1.0,21.0,0.92,internal_consistency,validated_in_cancer,1.0,10,above,Primary care and cancer populations (Spitzer et al. 2006),2,NORM_GAD7_CANCER,NOISE_GAD7,English,Spitzer2006,self_report,low,v1.0,1,5/10/15 severity thresholds; Tier 2 per architecture
INST_STAI_S,Spielberger State-Trait Anxiety Inventory — State,STAI-S,PRO,NODE_SYM_ANXIETY,"[""NODE_SYM_ANXIETY""]",lower_better,likert,20,1,"[""state_anxiety""]",20,80,0,10,-1.0,80.0,0.93,internal_consistency,validated_in_cancer,1.0,32.2,above,US adults (Spielberger et al. 1983),1,NORM_STAI_US,NOISE_STAI_S,English,Spielberger1983,self_report,low,v1.0,1,Oppegaard 2023 indicator; state form only; cutoff >32.2
INST_PSQI,Pittsburgh Sleep Quality Index,PSQI,PRO,NODE_SYM_SLEEP_DISRUPTION,"[""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_BEH_SLEEP_QUALITY""]",lower_better,ordinal,19,7,"[""subjective_quality"", ""sleep_latency"", ""sleep_duration"", ""habitual_efficiency"", ""sleep_disturbances"", ""sleep_medication"", ""daytime_dysfunction""]",0,21,30,10,-1.0,21.0,0.83,internal_consistency,validated_in_cancer,1.0,5,above,Healthy adults (Buysse et al. 1989); cancer norms available,1,NORM_PSQI_CANCER,NOISE_PSQI,English,Buysse1989,self_report,none,v1.0,1,Global score 0-21; >5 poor sleep quality; Tier 1 per architecture
INST_ISI,Insomnia Severity Index,ISI,PRO,NODE_SYM_SLEEP_DISRUPTION,"[""NODE_SYM_SLEEP_DISRUPTION""]",lower_better,likert,7,1,"[""insomnia_severity""]",0,28,14,3,-1.0,28.0,0.9,internal_consistency,validated_in_cancer,1.0,8,above,Insomnia patients (Morin et al. 2011); cancer norms available,2,NORM_ISI_CANCER,NOISE_ISI,English,Morin2011,self_report,none,v1.0,1,"8-14 subthreshold, 15-21 moderate, 22-28 severe; Tier 2"
INST_GSDS,General Sleep Disturbance Scale,GSDS,PRO,NODE_SYM_SLEEP_DISRUPTION,"[""NODE_SYM_SLEEP_DISRUPTION""]",lower_better,likert,21,7,"[""quality_of_sleep"", ""sleep_onset_latency"", ""awakenings"", ""waking_too_early"", ""excessive_sleep"", ""medication_use"", ""daytime_functioning""]",0,147,7,10,-1.0,147.0,0.88,internal_consistency,validated_in_cancer,1.0,43.0,above,Shift workers and cancer patients (Lee 1992),1,NORM_GSDS_CANCER,NOISE_GSDS,English,Lee1992,self_report,none,v1.0,1,Oppegaard 2023 indicator; cutoff >43.0 for clinically significant disturbance
