edge_relation_id,source_node_id,target_node_id,relation_type,mechanism_description,primary_pathway,secondary_pathways_json,expected_sign,functional_form,fallback_form,is_feedback_edge,feedback_loop_id,notes,version,active
ER_CHEMO_ACTIVITY,NODE_EXO_CHEMO_REGIMEN,NODE_BEH_PHYSICAL_ACTIVITY,causal,"Chemotherapy side effects (fatigue, nausea) reduce physical activity capacity and motivation",PW_C2_FATIGUE,"[""PW_M17_DOPAMINERGIC""]",negative,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_SLEEP,NODE_EXO_CHEMO_REGIMEN,NODE_BEH_SLEEP_QUALITY,causal,"Chemotherapy disrupts circadian rhythm via dexamethasone, nausea, and pain; hot flashes from endocrine effects",PW_C1_SLEEP,[],negative,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_DIET,NODE_EXO_CHEMO_REGIMEN,NODE_BEH_DIET,causal,"Chemotherapy-induced nausea, taste changes, mucositis reduce dietary quality and Mediterranean diet adherence",PW_M08_GUT_BRAIN,"[""PW_M13_METABOLIC""]",negative,linear,linear,0,N/A,N/A,1,1
ER_AGE_ACTIVITY,NODE_EXO_AGE,NODE_BEH_PHYSICAL_ACTIVITY,associational,Older age associated with lower baseline physical activity and reduced exercise capacity,PW_C2_FATIGUE,[],negative,linear,linear,0,N/A,N/A,1,1
ER_COMORBID_ACTIVITY,NODE_EXO_COMORBIDITY,NODE_BEH_PHYSICAL_ACTIVITY,associational,"Comorbidities (arthritis, cardiac, diabetes) limit exercise capacity and increase barriers",PW_C2_FATIGUE,[],negative,linear,linear,0,N/A,N/A,1,1
ER_COGRESERVE_COGACTIVITY,NODE_EXO_COG_RESERVE,NODE_BEH_COG_ACTIVITY,associational,"Higher cognitive reserve (education, occupation) associated with greater cognitive engagement habits",PW_M04_NEUROPLASTICITY,[],positive,linear,linear,0,N/A,N/A,1,1
ER_TX_PHASE_ACTIVITY,NODE_EXO_TX_PHASE,NODE_BEH_PHYSICAL_ACTIVITY,causal,Active treatment phase reduces activity; recovery phases allow progressive return to exercise,PW_C2_FATIGUE,[],context_dependent,linear,linear,0,N/A,"CATEGORICAL source: effect is phase-specific, not monotonic",1,1
ER_CHEMO_IL6,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_IL6,causal,"Chemotherapy triggers acute and chronic IL-6 elevation via tissue damage, NF-κB activation, and immune cell activation",PW_M01_NEUROINFLAMMATION,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_CRP,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_CRP,causal,Chemotherapy induces hepatic CRP production via IL-6 signaling cascade,PW_M01_NEUROINFLAMMATION,[],positive,linear,linear,0,N/A,N/A,1,1
ER_CHEMO_TNF,NODE_EXO_CHEMO_REGIMEN,NODE_BIO_TNF,causal,Chemotherapy activates macrophages and microglia producing TNF-α,PW_M01_NEUROINFLAMMATION,"[""PW_M09_SENESCENCE""]",positive,linear,linear,0,N/A,N/A,1,1
