pathway_id,pathway_label,tier,entry_node_ids_json,exit_node_ids_json,intermediate_node_ids_json,edge_relation_ids_json,cognitive_domain_specificity_json,best_proxy_biomarker,proxy_r_squared,causal_evidence_level,key_citation,version,active,notes
PATH_EXERCISE_NEUROPROTECTION,Exercise Neuroprotection Pathway,mechanistic_model_implied,"[""NODE_EXERCISE""]","[""NODE_COGNITION""]","[""NODE_BDNF"", ""NODE_IL6"", ""NODE_SLEEP_QUALITY""]","[""EDGE_EXERCISE_BDNF"", ""EDGE_EXERCISE_IL6"", ""EDGE_EXERCISE_SLEEP""]","{""attention"": 0.4, ""memory"": 0.5, ""executive"": 0.5, ""processing_speed"": 0.3}",,,strong_association,Campbell et al. 2020; Zimmer et al. 2016,1,1,Multi-mechanistic: anti-inflammatory + neurotrophic + sleep improvement
PATH_FATIGUE_COGNITION,Fatigue-Cognition Overlap,clinical_mediator,"[""NODE_FATIGUE""]","[""NODE_COGNITION""]",[],"[""EDGE_FATIGUE_COGNITION""]","{""attention"": 0.7, ""processing_speed"": 0.6, ""executive"": 0.4}",NODE_FATIGUE,,moderate_association,Borghgraef et al. 2022; Prue et al. 2006,1,1,Fatigue as mediator vs confound of cognitive complaints
PATH_HPA_DYSREGULATION,HPA Axis Dysregulation Pathway,mechanistic_model_implied,"[""NODE_CORTISOL""]","[""NODE_COGNITION"", ""NODE_FATIGUE""]",[],"[""EDGE_CORTISOL_COGNITION"", ""EDGE_CORTISOL_FATIGUE""]","{""memory"": 0.8, ""attention"": 0.3, ""executive"": 0.4}",NODE_CORTISOL,0.25,strong_association,Bower et al. 2005; Andreotti et al. 2015,1,1,Hippocampal vulnerability to glucocorticoid excess
PATH_NEUROINFLAMMATION,Neuroinflammation Pathway,mechanistic_model_implied,"[""NODE_IL6"", ""NODE_TNF_ALPHA"", ""NODE_CRP""]","[""NODE_COGNITION"", ""NODE_ATTENTION"", ""NODE_MEMORY""]",[],"[""EDGE_IL6_COGNITION"", ""EDGE_CRP_COGNITION"", ""EDGE_TNF_COGNITION""]","{""attention"": 0.7, ""memory"": 0.5, ""executive"": 0.4, ""processing_speed"": 0.6}",NODE_IL6,0.35,causal_demonstrated,Cheung et al. 2015; Janelsins et al. 2014,1,1,Most studied CRCI mechanism — peripheral cytokines cross BBB
PATH_NEUROTROPHIC,Neurotrophic Signaling Pathway,mechanistic_model_implied,"[""NODE_BDNF""]","[""NODE_COGNITION"", ""NODE_MEMORY""]",[],"[""EDGE_BDNF_COGNITION""]","{""memory"": 0.7, ""attention"": 0.3, ""executive"": 0.3}",NODE_BDNF,0.20,strong_association,Leal et al. 2017; Zimmer et al. 2016,1,1,BDNF-mediated neuroplasticity and hippocampal neurogenesis
PATH_SLEEP_COGNITION,Sleep Disruption Pathway,mechanistic_emerging,"[""NODE_SLEEP_QUALITY""]","[""NODE_COGNITION"", ""NODE_FATIGUE""]","[""NODE_IL6""]","[""EDGE_SLEEP_COGNITION"", ""EDGE_SLEEP_FATIGUE"", ""EDGE_SLEEP_IL6""]","{""attention"": 0.6, ""memory"": 0.5, ""executive"": 0.5, ""processing_speed"": 0.4}",NODE_SLEEP_QUALITY,,moderate_association,Palesh et al. 2010; Savard & Morin 2001,1,1,Sleep disruption impairs consolidation and increases inflammation
PW_C1_SLEEP,Sleep Disruption,clinical_mediator,"[""NODE_SYM_ANXIETY"", ""NODE_SYM_DEPRESSION"", ""NODE_PATH_HPA"", ""NODE_BEH_LIGHT_EXPOSURE""]","[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_BEH_SLEEP_QUALITY"", ""NODE_PATH_GLYMPHATIC""]","[""ER_CHEMO_SLEEP"", ""ER_SLEEP_CORTISOL"", ""ER_LIGHT_SLEEP"", ""ER_SLEEP_FATIGUE"", ""ER_SLEEP_ATTN"", ""ER_SLEEP_WORKMEM"", ""ER_SLEEP_EPISODIC"", ""ER_SLEEP_DEPRESSION_FWD""]","{""sustained_attention"": 0.8, ""working_memory"": 0.7, ""episodic_memory"": 0.6, ""executive_planning"": 0.5}",N/A_DIRECTLY_OBSERVABLE,0.2,causal_demonstrated,"Savard & Morin, 2001; Garland et al., 2014; Irwin, 2015",1,1,"Highest evidence clinical pathway. Contains LOOP_02 (Depression↔Sleep) and LOOP_03 (Anxiety↔Sleep). Drives glymphatic clearance. Target of CBT-I, sleep hygiene, bright light therapy."
PW_C2_FATIGUE,Cancer-Related Fatigue,clinical_mediator,"[""NODE_PATH_OIC"", ""NODE_SYM_PAIN"", ""NODE_SYM_SLEEP_DISRUPTION""]","[""NODE_COG_ATTN_SUSTAINED"", ""NODE_COG_PROC_SPEED""]","[""NODE_SYM_FATIGUE"", ""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_SYM_DECONDITIONING""]","[""ER_CHEMO_ACTIVITY"", ""ER_AGE_ACTIVITY"", ""ER_COMORBID_ACTIVITY"", ""ER_TX_PHASE_ACTIVITY"", ""ER_PAIN_FATIGUE"", ""ER_FATIGUE_ACTIVITY"", ""ER_FATIGUE_ATTN"", ""ER_FATIGUE_PROCSPEED"", ""ER_DECONDITIONING_PROCSPEED"", ""ER_ACTIVITY_FATIGUE_DIRECT"", ""ER_ACTIVITY_COG_COMPLAINTS""]","{""sustained_attention"": 0.8, ""processing_speed"": 0.7, ""working_memory"": 0.5}",N/A_DIRECTLY_OBSERVABLE,0.2,causal_demonstrated,"Bower, 2014; Berger et al., 2015; Mustian et al., 2017",1,1,"Contains LOOP_01 (Fatigue↔Activity, gain=0.16, strongest feedback loop). Inflammation → fatigue → inactivity → deconditioning → reduced cerebral perfusion → cognition. Target of exercise interventions."
PW_C3_MOOD,Mood / Affect Disturbance,clinical_mediator,"[""NODE_PATH_HPA"", ""NODE_PATH_OIC""]","[""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_SYM_DEPRESSION"", ""NODE_SYM_ANXIETY"", ""NODE_SYM_COG_COMPLAINTS""]","[""ER_DEPRESSION_COGCOMPLAINTS"", ""ER_DEPRESSION_SLEEP"", ""ER_ANXIETY_SLEEP"", ""ER_DEPRESSION_WORKMEM"", ""ER_DEPRESSION_EXEC"", ""ER_ANXIETY_SELECTATTN"", ""ER_COGCOMPLAINTS_EPISODIC""]","{""working_memory"": 0.7, ""executive_planning"": 0.6, ""episodic_memory"": 0.6, ""sustained_attention"": 0.5}",N/A_DIRECTLY_OBSERVABLE,0.2,strong_association,"Berman et al., 2014; Andreotti et al., 2015",1,1,"CAL covariance structure links subjective cognitive complaints with depression (reporting bias). PHQ-9 somatic confound warning during active treatment. Target of MBSR, psychoeducation."
PW_C4_VASCULAR_METABOLIC,Vascular / Metabolic,clinical_mediator,"[""NODE_BIO_GLUCOSE"", ""NODE_EXO_COMORBIDITY""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_METABOLIC"", ""NODE_PATH_CEREBROVASCULAR""]",[],"{""processing_speed"": 0.7, ""sustained_attention"": 0.5}",NODE_BIO_GLUCOSE,0.25,moderate_association,"Simo et al., 2015; Mandelblatt et al., 2014",1,1,Links metabolic comorbidities to cognitive outcomes via cerebral perfusion. Overlaps with M13 (Metabolic) and M11 (Cerebrovascular) mechanistic pathways. Target of diet and exercise.
PW_C5_SOCIAL,Social Isolation,clinical_mediator,"[""NODE_SYM_FATIGUE"", ""NODE_SYM_DEPRESSION""]","[""NODE_COG_VERBAL_FLUENCY"", ""NODE_COG_EXEC_PLANNING""]","[""NODE_BEH_SOCIAL_ENGAGE""]","[""ER_FATIGUE_SOCIAL"", ""ER_DEPRESSION_SOCIAL"", ""ER_SOCIAL_DEPRESSION"", ""ER_SOCIAL_VERBAL"", ""ER_SOCIAL_EXEC""]","{""verbal_fluency"": 0.7, ""executive_planning"": 0.5}",N/A_DIRECTLY_OBSERVABLE,0.2,moderate_association,"Kuiper et al., 2016; Fratiglioni et al., 2004",1,1,Fatigue/depression → social withdrawal → reduced cognitive stimulation → verbal/executive decline. Fewest edges (3). Target of social support groups and psychoeducation.
PW_M01_NEUROINFLAMMATION,Neuroinflammation,mechanistic_model_implied,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_IL6"", ""NODE_BIO_TNF"", ""NODE_BIO_CRP""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_OIC"", ""NODE_SYM_FATIGUE""]","[""ER_CHEMO_IL6"", ""ER_CHEMO_CRP"", ""ER_CHEMO_TNF"", ""ER_ACTIVITY_IL6"", ""ER_ACTIVITY_CRP"", ""ER_DIET_IL6"", ""ER_STRESS_IL6"", ""ER_IL6_OIC"", ""ER_CRP_OIC"", ""ER_TNF_OIC"", ""ER_IL6_BDNF_CROSS"", ""ER_OIC_FATIGUE"", ""ER_OIC_DEPRESSION"", ""ER_OIC_PAIN"", ""ER_OIC_APPETITE"", ""ER_OIC_COGCOMPLAINTS"", ""ER_OIC_PROCSPEED"", ""ER_OIC_WORKMEM"", ""ER_OIC_EPISODIC"", ""ER_OIC_ATTNSUST"", ""ER_APOE_OIC""]","{""processing_speed"": 0.8, ""working_memory"": 0.7, ""episodic_memory"": 0.6, ""executive_planning"": 0.5, ""sustained_attention"": 0.6}",NODE_BIO_IL6,0.45,causal_demonstrated,"Felger et al., 2020, Mol Psychiatry; Bower, 2014, Brain Behav Immun",1,1,Most robustly supported CRCI mechanism. Shared with OIC composite (M1+M2+M6) and NIC covariance (M3+M1).
PW_M02_OXIDATIVE_STRESS,Oxidative Stress,mechanistic_model_implied,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_8OHDG"", ""NODE_BIO_MDA""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_OIC"", ""NODE_PATH_DNA_DAMAGE""]","[""ER_CHEMO_8OHDG"", ""ER_CHEMO_MDA"", ""ER_ACTIVITY_8OHDG"", ""ER_DIET_MDA"", ""ER_8OHDG_OIC"", ""ER_MDA_OIC""]","{""processing_speed"": 0.7, ""episodic_memory"": 0.5, ""executive_planning"": 0.4}",NODE_BIO_8OHDG,0.25,strong_association,"Joshi et al., 2010, Free Radic Biol Med; Conklin, 2004",1,1,Component of OIC composite. ROS → lipid peroxidation → neuronal membrane damage. Feeds forward into DNA damage (M7).
PW_M03_HPA_DYSREGULATION,HPA Axis Dysregulation,mechanistic_model_implied,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_STRESS_MGMT"", ""NODE_BIO_CORTISOL""]","[""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM""]","[""NODE_PATH_HPA"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_SYM_DEPRESSION""]","[""ER_CHEMO_CORTISOL"", ""ER_ACTIVITY_CORTISOL"", ""ER_STRESS_CORTISOL"", ""ER_CORTISOL_HPA"", ""ER_HPA_SLEEP"", ""ER_HPA_DEPRESSION"", ""ER_HPA_ANXIETY"", ""ER_HPA_EPISODIC"", ""ER_HPA_WORKMEM"", ""ER_SEX_HPA""]","{""episodic_memory"": 0.8, ""working_memory"": 0.6, ""sustained_attention"": 0.5}",NODE_BIO_CORTISOL,0.45,strong_association,"Bower et al., 2005; Sephton et al., 2013; Tell et al., 2014",1,1,NIC covariance with M1. Cortisol slope primary proxy. Hippocampal glucocorticoid receptor-mediated memory impairment. Part of LOOP_05.
PW_M04_NEUROPLASTICITY,Neuroplasticity / BDNF Signaling,mechanistic_model_implied,"[""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_BEH_COG_ACTIVITY"", ""NODE_BIO_BDNF""]","[""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING""]","[""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_NEUROGENESIS"", ""NODE_PATH_SYNAPTIC""]","[""ER_COGRESERVE_COGACTIVITY"", ""ER_AGE_BDNF"", ""ER_ACTIVITY_BDNF"", ""ER_COGACTIVITY_BDNF"", ""ER_ACTIVITY_NEUROPLAST"", ""ER_BDNF_NEUROPLAST"", ""ER_NEUROPLAST_EPISODIC"", ""ER_NEUROPLAST_WORKMEM"", ""ER_COGACTIVITY_EPIMEM"", ""ER_ACTIVITY_PROC_SPEED"", ""ER_ACTIVITY_VERBAL_FLUENCY"", ""ER_ACTIVITY_EPIMEM"", ""ER_ACTIVITY_WORKMEM"", ""ER_ACTIVITY_EXEC""]","{""episodic_memory"": 0.9, ""working_memory"": 0.7, ""executive_planning"": 0.6, ""verbal_fluency"": 0.4}",NODE_BIO_BDNF,0.25,causal_demonstrated,"Szuhany et al., 2015, J Psychiatr Res; Northey et al., 2019",1,1,Primary exercise → cognition pathway. PLASMA BDNF only (not serum). SE 1.5x in cancer-specific contexts per paper. APOE e4 moderates (Grade A).
PW_M05_NEUROGENESIS,Adult Neurogenesis,mechanistic_emerging,"[""NODE_BIO_BDNF"", ""NODE_BEH_PHYSICAL_ACTIVITY""]","[""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_NEUROGENESIS""]","[""ER_BDNF_NEUROGENESIS"", ""ER_NEUROGENESIS_EPISODIC""]","{""episodic_memory"": 0.9, ""visuospatial"": 0.3}",NODE_BIO_BDNF,0.12,moderate_association,"van Praag et al., 1999; Erickson et al., 2011, PNAS",1,1,Hippocampus-specific. BDNF-dependent. Age-moderated (declines with age). Primary evidence from animal models; human translational evidence emerging.
PW_M06_MITOCHONDRIAL,Mitochondrial Dysfunction,mechanistic_emerging,"[""NODE_EXO_CHEMO_REGIMEN""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_OIC""]",[],"{""processing_speed"": 0.7, ""sustained_attention"": 0.6, ""working_memory"": 0.4}",NODE_BIO_IL6,0.12,moderate_association,"Lomeli et al., 2017; Magistretti & Allaman, 2018",1,1,Component of OIC composite. ATP depletion → reduced neuronal energy → processing speed deficits. No direct peripheral proxy for CNS mitochondrial function.
PW_M07_DNA_DAMAGE,DNA Damage Response,mechanistic_model_implied,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION""]","[""NODE_PATH_SENESCENCE""]","[""NODE_BIO_GH2AX"", ""NODE_PATH_DNA_DAMAGE""]","[""ER_CHEMO_GH2AX"", ""ER_RADIATION_GH2AX"", ""ER_GH2AX_DNA"", ""ER_DNA_SENESCENCE""]","{""processing_speed"": 0.5, ""episodic_memory"": 0.4}",NODE_BIO_GH2AX,0.45,causal_demonstrated,"Kuo et al., 2006; Acharya et al., 2016, Sci Rep",1,1,Direct chemotherapy/radiation mechanism. Feeds into senescence (M9) via persistent damage foci. γ-H2AX is high-validity proxy.
PW_M08_GUT_BRAIN,Gut-Brain Axis,mechanistic_emerging,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_DIET"", ""NODE_BIO_SHANNON""]","[""NODE_PATH_OIC""]","[""NODE_PATH_GUT_BRAIN""]","[""ER_CHEMO_DIET"", ""ER_CHEMO_SHANNON"", ""ER_DIET_SHANNON"", ""ER_SHANNON_GUTBRAIN"", ""ER_GUTBRAIN_OIC"", ""ER_GUTBRAIN_APPETITE"", ""ER_APPETITE_DECONDITIONING""]","{""processing_speed"": 0.3, ""episodic_memory"": 0.3, ""working_memory"": 0.3}",NODE_BIO_SHANNON,0.12,plausible,"Cryan & Dinan, 2012; Jordan et al., 2018",1,1,Emerging evidence. Chemo → dysbiosis → intestinal permeability → systemic inflammation → neuroinflammation. Converges on OIC. Shannon diversity is low-validity proxy.
PW_M09_SENESCENCE,Cellular Senescence,mechanistic_model_implied,"[""NODE_PATH_DNA_DAMAGE"", ""NODE_BIO_P16"", ""NODE_BIO_TNF""]","[""NODE_PATH_OIC""]","[""NODE_PATH_SENESCENCE""]","[""ER_CHEMO_P16"", ""ER_P16_SENESCENCE"", ""ER_SENESCENCE_OIC""]","{""processing_speed"": 0.5, ""episodic_memory"": 0.4, ""executive_planning"": 0.3}",NODE_BIO_P16,0.45,strong_association,"Sanoff et al., 2014; Demaria et al., 2017",1,1,Chemotherapy-induced senescence → SASP → chronic inflammation. Links to ACC factor in temporal model. p16 is high-validity proxy.
PW_M10_GLYMPHATIC,Glymphatic Clearance,mechanistic_emerging,"[""NODE_BEH_SLEEP_QUALITY"", ""NODE_SYM_SLEEP_DISRUPTION""]","[""NODE_PATH_OIC""]","[""NODE_PATH_GLYMPHATIC""]","[""ER_SLEEP_GLYMPHATIC"", ""ER_GLYMPHATIC_SLEEP""]","{""episodic_memory"": 0.6, ""processing_speed"": 0.4}",N/A_NO_PERIPHERAL_PROXY,0.2,moderate_association,"Xie et al., 2013, Science; Jessen et al., 2015",1,1,Sleep-dependent CNS waste clearance. Part of LOOP_05 (HPA→Sleep→Glymphatic→Neuroinflammation→HPA). No direct peripheral proxy. Inferred from sleep + neuroinflammation trajectory.
PW_M11_CEREBROVASCULAR,Cerebrovascular Function,mechanistic_placeholder,"[""NODE_BIO_GLUCOSE"", ""NODE_BEH_PHYSICAL_ACTIVITY""]","[""NODE_COG_PROC_SPEED""]","[""NODE_PATH_CEREBROVASCULAR""]",[],"{""processing_speed"": 0.6, ""sustained_attention"": 0.4}",N/A_NO_PERIPHERAL_PROXY,0.2,plausible,"Kesler et al., 2017 (fMRI evidence)",1,1,EDGELESS PLACEHOLDER. Conceptual pathway without parameterized edges in v1. Would require TCD/MRI perfusion data. Future expansion candidate.
PW_M12_EPIGENETIC,Epigenetic Modification,mechanistic_emerging,"[""NODE_EXO_CHEMO_REGIMEN""]","[""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY""]","[""NODE_PATH_EPIGENETIC""]","[""ER_CHEMO_EPIGENETIC"", ""ER_EPIGENETIC_OIC"", ""ER_EPIGENETIC_NEUROPLAST""]","{""processing_speed"": 0.3, ""episodic_memory"": 0.3}",N/A_NO_PERIPHERAL_PROXY,0.2,plausible,"Kober et al., 2020; Lengacher et al., 2014 (methylation)",1,1,"Chemotherapy-induced methylation changes → altered gene expression in neuronal/glial cells. Modulates other pathways (OIC, neuroplasticity). No validated CNS peripheral proxy."
PW_M13_METABOLIC,Metabolic Dysregulation,mechanistic_emerging,"[""NODE_EXO_COMORBIDITY"", ""NODE_BIO_GLUCOSE"", ""NODE_BEH_DIET""]","[""NODE_PATH_OIC"", ""NODE_COG_PROC_SPEED""]","[""NODE_PATH_METABOLIC""]","[""ER_CHEMO_GLUCOSE"", ""ER_ACTIVITY_GLUCOSE"", ""ER_DIET_GLUCOSE"", ""ER_GLUCOSE_METABOLIC"", ""ER_METABOLIC_OIC"", ""ER_METABOLIC_DECONDITIONING""]","{""processing_speed"": 0.6, ""episodic_memory"": 0.5, ""executive_planning"": 0.4}",NODE_BIO_GLUCOSE,0.25,moderate_association,"Simo et al., 2015; Cheke et al., 2017",1,1,Insulin resistance → impaired cerebral glucose metabolism → neuroinflammation. Dexamethasone and hormonal therapy exacerbate. Links to C4 (Vascular/metabolic clinical pathway).
PW_M14_BBB,Blood-Brain Barrier Disruption,mechanistic_placeholder,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION""]","[""NODE_PATH_OIC""]","[""NODE_PATH_BBB"", ""NODE_BIO_NFL""]","[""ER_CHEMO_NFL"", ""ER_RADIATION_NFL"", ""ER_RADIATION_BBB"", ""ER_NFL_BBB""]","{""processing_speed"": 0.4, ""working_memory"": 0.3}",NODE_BIO_NFL,0.12,plausible,"Wardill et al., 2016; Schroyen et al., 2021",1,1,EDGELESS PLACEHOLDER. BBB permeability allows peripheral inflammatory mediators into CNS. NfL candidate proxy but cannot distinguish CNS from PNS damage.
PW_M15_SYNAPTIC,Synaptic Function (Convergent Hub),mechanistic_model_implied,"[""NODE_PATH_OIC"", ""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_METABOLIC""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_EXEC_PLANNING"", ""NODE_COG_EXEC_INHIBITION"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_SYNAPTIC""]","[""ER_COGACTIVITY_SYNAPTIC"", ""ER_SYNAPTIC_PROCSPEED"", ""ER_SYNAPTIC_WORKMEM"", ""ER_SYNAPTIC_EXEC"", ""ER_COGACTIVITY_WORKMEM"", ""ER_COGACTIVITY_ATTN"", ""ER_COGACTIVITY_COGCOMPLAINTS""]","{""processing_speed"": 0.8, ""working_memory"": 0.8, ""episodic_memory"": 0.7, ""executive_planning"": 0.7, ""executive_inhibition"": 0.6, ""sustained_attention"": 0.7}",N/A_NO_PERIPHERAL_PROXY,0.2,strong_association,"Bhatt et al., 2020; Gibson & Bhatt, 2018",1,1,"CONVERGENT HUB receiving from multiple mechanistic pathways. Final common pathway before cognitive domains. LTP/LTD, synaptic pruning, neurotransmitter balance. No direct peripheral proxy."
