pathway_id,pathway_label,pathway_short,pathway_class,tier,evidence_tier_readable,se_multiplier,edge_count,status,entry_node_ids_json,exit_node_ids_json,intermediate_node_ids_json,component_nodes_json,composite_membership,best_proxy_biomarker,proxy_r_squared_qualitative,causal_evidence_level,key_citation,activation_threshold,is_sensitive_pathway,cognitive_domain_specificity_json,notes,version,active
PW_M01_NEUROINFLAMMATION,Neuroinflammation,Neuroinflam,mechanistic,mechanistic_model_implied,High,1.0,11,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_IL6"", ""NODE_BIO_TNF"", ""NODE_BIO_CRP""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_OIC"", ""NODE_SYM_FATIGUE""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_IL6"", ""NODE_BIO_CRP"", ""NODE_BIO_TNF"", ""NODE_PATH_OIC"", ""NODE_SYM_FATIGUE"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EPISODIC_MEM""]",OIC,NODE_BIO_IL6,high,causal_demonstrated,"Felger et al., 2020, Mol Psychiatry; Bower, 2014, Brain Behav Immun",0.3,1,"{""processing_speed"": 0.8, ""working_memory"": 0.7, ""episodic_memory"": 0.6, ""executive_planning"": 0.5, ""sustained_attention"": 0.6}",Most robustly supported CRCI mechanism. Shared with OIC composite (M1+M2+M6) and NIC covariance (M3+M1).,1,1
PW_M02_OXIDATIVE_STRESS,Oxidative Stress,OxStress,mechanistic,mechanistic_model_implied,Moderate-High,1.15,7,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_8OHDG"", ""NODE_BIO_MDA""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_OIC"", ""NODE_PATH_DNA_DAMAGE""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BIO_8OHDG"", ""NODE_BIO_MDA"", ""NODE_PATH_OIC"", ""NODE_PATH_DNA_DAMAGE"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_EPISODIC_MEM""]",OIC,NODE_BIO_8OHDG,moderate,strong_association,"Joshi et al., 2010, Free Radic Biol Med; Conklin, 2004",0.5,0,"{""processing_speed"": 0.7, ""episodic_memory"": 0.5, ""executive_planning"": 0.4}",Component of OIC composite. ROS → lipid peroxidation → neuronal membrane damage. Feeds forward into DNA damage (M7).,1,1
PW_M03_HPA_DYSREGULATION,HPA Axis Dysregulation,HPA,mechanistic,mechanistic_model_implied,Moderate,1.25,8,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_STRESS_MGMT"", ""NODE_BIO_CORTISOL""]","[""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM""]","[""NODE_PATH_HPA"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_SYM_DEPRESSION""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_STRESS_MGMT"", ""NODE_BIO_CORTISOL"", ""NODE_PATH_HPA"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_SYM_DEPRESSION"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM""]",NIC,NODE_BIO_CORTISOL,high,strong_association,"Bower et al., 2005; Sephton et al., 2013; Tell et al., 2014",0.5,0,"{""episodic_memory"": 0.8, ""working_memory"": 0.6, ""sustained_attention"": 0.5}",NIC covariance with M1. Cortisol slope primary proxy. Hippocampal glucocorticoid receptor-mediated memory impairment. Part of LOOP_05.,1,1
PW_M04_NEUROPLASTICITY,Neuroplasticity / BDNF Signaling,BDNF,mechanistic,mechanistic_model_implied,Moderate-High,1.15,9,connected,"[""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_BEH_COG_ACTIVITY"", ""NODE_BIO_BDNF""]","[""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING""]","[""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_NEUROGENESIS"", ""NODE_PATH_SYNAPTIC""]","[""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_BEH_COG_ACTIVITY"", ""NODE_BIO_BDNF"", ""NODE_PATH_NEUROPLASTICITY"", ""NODE_PATH_NEUROGENESIS"", ""NODE_PATH_SYNAPTIC"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_WORK_MEM"", ""NODE_COG_EXEC_PLANNING""]",N/A,NODE_BIO_BDNF,moderate,causal_demonstrated,"Szuhany et al., 2015, J Psychiatr Res; Northey et al., 2019",0.5,0,"{""episodic_memory"": 0.9, ""working_memory"": 0.7, ""executive_planning"": 0.6, ""verbal_fluency"": 0.4}",Primary exercise → cognition pathway. PLASMA BDNF only (not serum). SE 1.5x in cancer-specific contexts per paper. APOE e4 moderates (Grade A).,1,1
PW_M05_NEUROGENESIS,Adult Neurogenesis,Neurogenesis,mechanistic,mechanistic_emerging,Moderate,1.25,5,connected,"[""NODE_BIO_BDNF"", ""NODE_BEH_PHYSICAL_ACTIVITY""]","[""NODE_COG_EPISODIC_MEM""]","[""NODE_PATH_NEUROGENESIS""]","[""NODE_BIO_BDNF"", ""NODE_BEH_PHYSICAL_ACTIVITY"", ""NODE_PATH_NEUROGENESIS"", ""NODE_COG_EPISODIC_MEM""]",N/A,NODE_BIO_BDNF,low,moderate_association,"van Praag et al., 1999; Erickson et al., 2011, PNAS",0.5,0,"{""episodic_memory"": 0.9, ""visuospatial"": 0.3}",Hippocampus-specific. BDNF-dependent. Age-moderated (declines with age). Primary evidence from animal models; human translational evidence emerging.,1,1
PW_M06_MITOCHONDRIAL,Mitochondrial Dysfunction,Mitochondrial,mechanistic,mechanistic_emerging,Moderate,1.25,6,connected,"[""NODE_EXO_CHEMO_REGIMEN""]","[""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]","[""NODE_PATH_OIC""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_PATH_OIC"", ""NODE_SYM_FATIGUE"", ""NODE_COG_PROC_SPEED"", ""NODE_COG_ATTN_SUSTAINED""]",OIC,NODE_BIO_IL6,low,moderate_association,"Lomeli et al., 2017; Magistretti & Allaman, 2018",0.5,0,"{""processing_speed"": 0.7, ""sustained_attention"": 0.6, ""working_memory"": 0.4}",Component of OIC composite. ATP depletion → reduced neuronal energy → processing speed deficits. No direct peripheral proxy for CNS mitochondrial function.,1,1
PW_M07_DNA_DAMAGE,DNA Damage Response,DNADamage,mechanistic,mechanistic_model_implied,Moderate-High,1.15,5,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION""]","[""NODE_PATH_SENESCENCE""]","[""NODE_BIO_GH2AX"", ""NODE_PATH_DNA_DAMAGE""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_EXO_RADIATION"", ""NODE_BIO_GH2AX"", ""NODE_PATH_DNA_DAMAGE"", ""NODE_PATH_SENESCENCE""]",N/A,NODE_BIO_GH2AX,high,causal_demonstrated,"Kuo et al., 2006; Acharya et al., 2016, Sci Rep",0.5,0,"{""processing_speed"": 0.5, ""episodic_memory"": 0.4}",Direct chemotherapy/radiation mechanism. Feeds into senescence (M9) via persistent damage foci. γ-H2AX is high-validity proxy.,1,1
PW_M08_GUT_BRAIN,Gut-Brain Axis,GutBrain,mechanistic,mechanistic_emerging,Low-Moderate,1.75,5,connected,"[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_DIET"", ""NODE_BIO_SHANNON""]","[""NODE_PATH_OIC""]","[""NODE_PATH_GUT_BRAIN""]","[""NODE_EXO_CHEMO_REGIMEN"", ""NODE_BEH_DIET"", ""NODE_BIO_SHANNON"", ""NODE_PATH_GUT_BRAIN"", ""NODE_PATH_OIC""]",N/A,NODE_BIO_SHANNON,low,plausible,"Cryan & Dinan, 2012; Jordan et al., 2018",0.5,0,"{""processing_speed"": 0.3, ""episodic_memory"": 0.3, ""working_memory"": 0.3}",Emerging evidence. Chemo → dysbiosis → intestinal permeability → systemic inflammation → neuroinflammation. Converges on OIC. Shannon diversity is low-validity proxy.,1,1
PW_M09_SENESCENCE,Cellular Senescence,Senescence,mechanistic,mechanistic_model_implied,Moderate,1.25,5,connected,"[""NODE_PATH_DNA_DAMAGE"", ""NODE_BIO_P16"", ""NODE_BIO_TNF""]","[""NODE_PATH_OIC""]","[""NODE_PATH_SENESCENCE""]","[""NODE_PATH_DNA_DAMAGE"", ""NODE_BIO_P16"", ""NODE_BIO_TNF"", ""NODE_PATH_SENESCENCE"", ""NODE_PATH_OIC""]",N/A,NODE_BIO_P16,high,strong_association,"Sanoff et al., 2014; Demaria et al., 2017",0.5,0,"{""processing_speed"": 0.5, ""episodic_memory"": 0.4, ""executive_planning"": 0.3}",Chemotherapy-induced senescence → SASP → chronic inflammation. Links to ACC factor in temporal model. p16 is high-validity proxy.,1,1
PW_M10_GLYMPHATIC,Glymphatic Clearance,Glymphatic,mechanistic,mechanistic_emerging,Low-Moderate,1.75,6,connected,"[""NODE_BEH_SLEEP_QUALITY"", ""NODE_SYM_SLEEP_DISRUPTION""]","[""NODE_PATH_OIC""]","[""NODE_PATH_GLYMPHATIC""]","[""NODE_BEH_SLEEP_QUALITY"", ""NODE_SYM_SLEEP_DISRUPTION"", ""NODE_PATH_GLYMPHATIC"", ""NODE_PATH_OIC"", ""NODE_COG_EPISODIC_MEM"", ""NODE_COG_PROC_SPEED""]",N/A,N/A_NO_PERIPHERAL_PROXY,N/A,moderate_association,"Xie et al., 2013, Science; Jessen et al., 2015",0.5,0,"{""episodic_memory"": 0.6, ""processing_speed"": 0.4}",Sleep-dependent CNS waste clearance. Part of LOOP_05 (HPA→Sleep→Glymphatic→Neuroinflammation→HPA). No direct peripheral proxy. Inferred from sleep + neuroinflammation trajectory.,1,1
