node_id,node_label,node_layer,clinical_domain,is_observable,is_latent,orientation,unit_of_measure,pathway_membership,proxy_for,proxy_r_squared,description,example_instruments,version,active
NODE_EXO_CHEMO_REGIMEN,Chemotherapy Regimen Class,0,treatment_exposure,1,0,CATEGORICAL,categorical,"[""M1"", ""M2"", ""M6"", ""M7"", ""M9"", ""M16""]",N/A_EXOGENOUS,N/A,"Chemotherapy regimen classification (anthracycline, taxane, platinum, alkylating, combination). Primary driver of treatment-induced neurotoxicity across multiple mechanistic pathways.","Clinical record extraction; ENUM {anthracycline_based, taxane_based, platinum_based, alkylating, antimetabolite, targeted_therapy, combination_chemo, none}",1,1
NODE_EXO_RADIATION,Radiation Exposure,0,treatment_exposure,1,0,CATEGORICAL,categorical,"[""M1"", ""M7"", ""M14""]",N/A_EXOGENOUS,N/A,"Radiation exposure type and location (cranial, whole-body, pelvic, none). Cranial radiation is strongest risk factor for direct CNS damage and BBB disruption.","Clinical record; ENUM {cranial, whole_brain, head_neck, thoracic, pelvic, none}",1,1
NODE_EXO_TX_PHASE,Treatment Phase,0,treatment_exposure,1,0,CATEGORICAL,categorical,"[""C1"", ""C2""]",N/A_EXOGENOUS,N/A,Current treatment phase. Drives prior selection (33 context-matched matrices) and modifier activation. Key variable for the 4-level fallback hierarchy in ALG-C1.,"Patient/clinical report; ENUM {pre_treatment, active_treatment, early_recovery, late_recovery, long_term_survivorship}",1,1
NODE_EXO_CANCER_TYPE,Cancer Type,0,treatment_exposure,1,0,CATEGORICAL,categorical,[],N/A_EXOGENOUS,N/A,Primary cancer diagnosis. Drives prior context matching and cancer-specific pathway activation patterns. Breast cancer has strongest evidence base; others use fallback priors.,"Clinical record; ENUM {breast, colorectal, lung, prostate, hematological, gynecological, head_neck, brain_cns, pediatric_survivor, other}",1,1
NODE_EXO_AGE,Age at Diagnosis,0,demographics,1,0,POS_DOWN,years,"[""M4"", ""M5"", ""M9""]",N/A_EXOGENOUS,N/A,"Age at cancer diagnosis. Modifies neuroplasticity response (BDNF), neurogenesis capacity, and senescence baseline. Grade B modifier for multiple pathways. ACC formula uses max(1,(age-50)/10).",Patient report or clinical record; continuous 18-100,1,1
NODE_EXO_SEX,Biological Sex,0,demographics,1,0,CATEGORICAL,categorical,"[""M3""]",N/A_EXOGENOUS,N/A,"Biological sex. Modifies HPA axis reactivity and hormonal pathway effects. Relevant for endocrine therapy interactions (tamoxifen, aromatase inhibitors).","Patient report; ENUM {male, female, other}",1,1
NODE_EXO_APOE,APOE Genotype Status,0,demographics,1,0,POS_DOWN,categorical,"[""M1"", ""M4"", ""M11""]",N/A_EXOGENOUS,N/A,APOE epsilon-4 carrier status. Grade A modifier (Pearce 2022). e4 carriers show attenuated exercise-cognition benefit and amplified neuroinflammatory response to chemotherapy.,"Genetic test; ENUM {e4_homozygous, e4_heterozygous, non_carrier, unknown}",1,1
NODE_EXO_COG_RESERVE,Premorbid Cognitive Reserve,0,demographics,1,0,POS_UP,composite_score,"[""M4"", ""M15""]",N/A_EXOGENOUS,N/A,"Premorbid cognitive reserve proxy based on education, occupation, and premorbid IQ. Grade B modifier (Stern 2009). m_CR in [0.7, 1.3]: >16yr edu → 0.7 (protective); <12yr → 1.3 (vulnerability).",Education years + occupation complexity; continuous composite or ordinal,1,1
NODE_EXO_COMORBIDITY,Comorbidity Burden,0,demographics,1,0,POS_DOWN,count_or_index,"[""M13"", ""C4""]",N/A_EXOGENOUS,N/A,Overall comorbidity burden (Charlson Comorbidity Index or count). Modifies metabolic pathway activation and vascular risk. Drives contraindication evaluation for exercise intensity.,Charlson Comorbidity Index or simple count; integer >=0,1,1
NODE_BEH_PHYSICAL_ACTIVITY,Physical Activity Level,1,lifestyle_behavior,1,0,POS_UP,MET-min/week,"[""M1"", ""M2"", ""M4"", ""M5"", ""M6"", ""M8"", ""M13"", ""C2""]",N/A_BEHAVIOR,N/A,Weekly physical activity level. Primary intervention target for exercise interventions. Dose-response modeled via Emax/Hill functions (EC50 ~200 MET-min/wk for aerobic). Member of Fatigue-Activity feedback loop (LOOP_01).,"IPAQ, GLTEQ, accelerometry, self-report MET-min/week",1,1
NODE_BEH_SLEEP_QUALITY,Sleep Quality/Hygiene,1,lifestyle_behavior,1,0,POS_UP,composite_score,"[""M10"", ""C1"", ""M3""]",N/A_BEHAVIOR,N/A,"Sleep quality as a BEHAVIOR (sleep practices, hygiene). Distinct from NODE_SYM_SLEEP_DISRUPTION (the symptom). Target of CBT-I and sleep hygiene interventions. Drives glymphatic clearance pathway.","PSQI (inverted for POS_UP), sleep diary, actigraphy sleep efficiency",1,1
NODE_BEH_DIET,Dietary Pattern,1,lifestyle_behavior,1,0,POS_UP,adherence_score,"[""M1"", ""M2"", ""M8"", ""M13""]",N/A_BEHAVIOR,N/A,"Dietary pattern quality (Mediterranean diet adherence, anti-inflammatory diet score). Targets neuroinflammation, oxidative stress, gut-brain axis, and metabolic pathways.","Mediterranean Diet Score, DASH score, Healthy Eating Index, food frequency questionnaire",1,1
NODE_BEH_STRESS_MGMT,Stress Management Practice,1,lifestyle_behavior,1,0,POS_UP,hours/week,"[""M3"", ""C3""]",N/A_BEHAVIOR,N/A,"Active stress management behavior (mindfulness, meditation, relaxation practice). Target of MBSR intervention. Modulates HPA axis and mood pathways.","Self-report practice frequency/duration, MBSR session completion",1,1
NODE_BEH_SOCIAL_ENGAGE,Social Engagement Level,1,lifestyle_behavior,1,0,POS_UP,composite_score,"[""C5"", ""M4""]",N/A_BEHAVIOR,N/A,Social engagement and participation level. Drives cognitive stimulation through social interaction. Impacted by fatigue and depression (C5 pathway). Modulates neuroplasticity.,"Lubben Social Network Scale, Social Activities Log, self-report frequency",1,1
NODE_BEH_LIGHT_EXPOSURE,Light Exposure Pattern,1,lifestyle_behavior,1,0,POS_UP,minutes/day,"[""C1"", ""M3""]",N/A_BEHAVIOR,N/A,"Morning bright light exposure. Target of bright light therapy intervention (threshold model, -0.30 effect at >=20 min/day). Regulates circadian rhythm → sleep quality → HPA axis.","Self-report, lux meter, wearable light sensor; minutes of >10,000 lux within 2h of waking",1,1
NODE_BEH_COG_ACTIVITY,Cognitive Activity Level,1,lifestyle_behavior,1,0,POS_UP,hours/week,"[""M4"", ""M15""]",N/A_BEHAVIOR,N/A,"Engagement in cognitively stimulating activities (cognitive training, reading, puzzles, learning). Target of cognitive rehabilitation interventions. Drives neuroplasticity and synaptic function.","Cognitive Activity Questionnaire, training program completion logs",1,1
NODE_BEH_SELF_EFFICACY,Self-Efficacy / Adherence Motivation,1,lifestyle_behavior,1,0,POS_UP,scale_score,"[""M17"", ""C2"", ""C3""]",N/A_BEHAVIOR,N/A,Self-efficacy for behavior change and intervention adherence. Modulates actual adherence rates (P_adhere in SAFE score). Connected to dopaminergic motivation pathway. Impacted by fatigue and mood.,"General Self-Efficacy Scale, Exercise Self-Efficacy Scale, treatment motivation VAS",1,1
NODE_BIO_IL6,Interleukin-6,2,inflammatory,1,0,POS_DOWN,pg/mL,"[""M1"", ""M8""]",NODE_PATH_OIC,high,"Plasma IL-6 concentration. Primary peripheral proxy for neuroinflammation (OIC composite). Elevated by chemotherapy, reduced by exercise. Correlated with TNF-α (ρ=0.65), CRP (ρ=0.72).","INST_IL6_PLASMA (ELISA, plasma, fasting preferred)",1,1
NODE_BIO_CRP,C-Reactive Protein,2,inflammatory,1,0,POS_DOWN,mg/L,"[""M1""]",NODE_PATH_OIC,moderate,High-sensitivity CRP (serum). Acute phase reactant downstream of IL-6. Less specific to neuroinflammation than IL-6 but more widely available clinically. Correlated with IL-6 (ρ=0.72).,"INST_CRP_HS (hs-CRP, serum, immunoturbidimetric assay)",1,1
NODE_BIO_TNF,Tumor Necrosis Factor Alpha,2,inflammatory,1,0,POS_DOWN,pg/mL,"[""M1"", ""M9""]",NODE_PATH_OIC,moderate,"Plasma TNF-α. Pro-inflammatory cytokine linked to neuroinflammation and SASP (senescence-associated secretory phenotype). Drives cellular senescence pathway. Correlated with IL-6 (ρ=0.65), CRP (ρ=0.58).","INST_TNF_PLASMA (ELISA, plasma)",1,1
NODE_BIO_BDNF,Brain-Derived Neurotrophic Factor,2,neurotrophic,1,0,POS_UP,ng/mL,"[""M4"", ""M5""]",NODE_PATH_NEUROPLASTICITY,moderate,"PLASMA BDNF (NOT serum — serum levels 20-200x higher due to platelet BDNF, confounding measurement). Primary proxy for neuroplasticity pathway. Increased by exercise, reduced by chronic stress. Anti-correlated with IL-6 (ρ=-0.35).","INST_BDNF_PLASMA (ELISA, plasma specifically, fasting, morning collection preferred; unit: pg/mL)",1,1
NODE_BIO_CORTISOL,Cortisol Diurnal Slope,2,neuroendocrine,1,0,POS_DOWN,slope_units,"[""M3""]",NODE_PATH_HPA,high,"Salivary cortisol diurnal slope (>=2 days sampling). Flatter/less-negative slope indicates HPA dysregulation (POS_DOWN: higher raw value = flatter = worse). Primary proxy for HPA pathway. Requires multi-timepoint sampling (waking, +30min, afternoon, evening). Correlated with IL-6 (ρ=0.28).","INST_CORTISOL_SLOPE (salivary cortisol, 4-point diurnal, >=2 days)",1,1
NODE_BIO_P16,p16^INK4a Expression,2,cellular_damage,1,0,POS_DOWN,relative_expression,"[""M9""]",NODE_PATH_SENESCENCE,high,"T-cell p16^INK4a expression by flow cytometry. Primary peripheral proxy for cellular senescence. Elevated after chemotherapy, especially anthracyclines. Linked to accelerated cognitive aging.","INST_P16_TCELL (T-cell flow cytometry, quantitative RT-PCR)",1,1
NODE_BIO_GH2AX,Gamma-H2AX Foci,2,cellular_damage,1,0,POS_DOWN,foci/cell,"[""M7""]",NODE_PATH_DNA_DAMAGE,high,Lymphocyte γ-H2AX foci count by immunofluorescence. Direct marker of DNA double-strand breaks. Elevated by chemotherapy and radiation. Primary proxy for DNA damage pathway.,INST_GH2AX_LYMPH (lymphocyte immunofluorescence microscopy),1,1
NODE_BIO_8OHDG,8-Hydroxy-2'-Deoxyguanosine,2,cellular_damage,1,0,POS_DOWN,ng/mL,"[""M2""]",NODE_PATH_OIC,moderate,Urinary or plasma 8-OHdG. Marker of oxidative DNA damage. Proxy for oxidative stress component of OIC composite. Elevated by chemotherapy-induced reactive oxygen species.,"INST_8OHDG (ELISA, urinary preferred, plasma acceptable)",1,1
NODE_BIO_MDA,Malondialdehyde,2,cellular_damage,1,0,POS_DOWN,nmol/mL,"[""M2""]",NODE_PATH_OIC,moderate,Plasma malondialdehyde. Lipid peroxidation marker for oxidative stress. Proxy for oxidative stress component of OIC composite. Correlation with IL-6 pending verification.,"INST_MDA_PLASMA (TBARS assay or HPLC, plasma)",1,1
NODE_BIO_GLUCOSE,Fasting Glucose,2,metabolic,1,0,POS_DOWN,mg/dL,"[""M13"", ""C4""]",NODE_PATH_METABOLIC,moderate,Fasting blood glucose. Proxy for metabolic dysregulation pathway. Insulin resistance impairs cerebral glucose metabolism and drives neuroinflammation. Elevated by dexamethasone and some chemotherapy regimens.,"INST_GLUCOSE_FASTING (standard clinical lab, fasting, mg/dL or mmol/L)",1,1
NODE_BIO_NFL,Neurofilament Light Chain,2,cellular_damage,1,0,POS_DOWN,pg/mL,"[""M14"", ""M16""]",NODE_PATH_BBB,low,Plasma neurofilament light chain. Marker of axonal/neuronal damage. CAUTION: Cannot distinguish CNS from PNS damage — elevated in chemotherapy-induced peripheral neuropathy independently of CRCI. Low proxy validity for BBB-specific damage.,"INST_NFL_PLASMA (Simoa ultrasensitive immunoassay, plasma)",1,1
NODE_BIO_SHANNON,Gut Microbiome Shannon Diversity,2,microbiome_immune,1,0,POS_UP,diversity_index,"[""M8""]",NODE_PATH_GUT_BRAIN,low,Shannon diversity index from 16S rRNA fecal sequencing. Proxy for gut-brain axis pathway. Reduced by chemotherapy and antibiotics. Limited cancer-specific normative data. Emerging biomarker with low proxy validity.,"INST_SHANNON_16S (16S rRNA sequencing, fecal sample, Shannon H index)",1,1
NODE_PATH_OIC,Oxidative-Inflammatory Cascade,3,inflammatory,0,1,POS_DOWN,z-score_latent,"[""M1"", ""M2"", ""M6""]",N/A_IS_LATENT,N/A_IS_LATENT,COMPOSITE NODE absorbing M1 (Neuroinflammation) + M2 (Oxidative Stress) + M6 (Mitochondrial Dysfunction). Internal 3x3 covariance matrix + amplification factor α. Resolves bidirectional neuroinflammation ↔ oxidative stress ↔ mitochondrial dysfunction cycle within acyclic DAG. Best proxied by IL-6.,"Latent — proxied by NODE_BIO_IL6 (primary), NODE_BIO_CRP, NODE_BIO_TNF, NODE_BIO_8OHDG, NODE_BIO_MDA",1,1
NODE_PATH_HPA,HPA Axis Dysregulation,3,neuroendocrine,0,1,POS_DOWN,z-score_latent,"[""M3""]",N/A_IS_LATENT,N/A_IS_LATENT,Hypothalamic-pituitary-adrenal axis dysregulation (M3). NIC covariance structure links this to OIC. Flattened cortisol slope indicates chronic stress response. Drives sleep disruption and mood disturbance. Proxied by cortisol diurnal slope.,Latent — proxied by NODE_BIO_CORTISOL (primary),1,1
NODE_PATH_NEUROPLASTICITY,Neuroplasticity / BDNF Signaling,3,neurotrophic,0,1,POS_UP,z-score_latent,"[""M4""]",N/A_IS_LATENT,N/A_IS_LATENT,"BDNF-mediated neuroplasticity (M4). Enhanced by exercise, suppressed by chronic inflammation and stress. Key pathway for exercise → cognition benefit. SE multiplier 1.15x (Moderate-High evidence, 1.5x in cancer-specific contexts).","Latent — proxied by NODE_BIO_BDNF (primary, PLASMA not serum)",1,1
NODE_PATH_NEUROGENESIS,Adult Neurogenesis,3,neurotrophic,0,1,POS_UP,z-score_latent,"[""M5""]",N/A_IS_LATENT,N/A_IS_LATENT,"Hippocampal adult neurogenesis (M5). BDNF-dependent. Exercise-promoted, chemotherapy-suppressed. Primary effect on episodic memory. Declines with age. No direct peripheral biomarker; inferred from BDNF + hippocampal volume (imaging).","Latent — proxied by NODE_BIO_BDNF (indirect), hippocampal volume on MRI if available",1,1
NODE_PATH_DNA_DAMAGE,DNA Damage Response,3,cellular_damage,0,1,POS_DOWN,z-score_latent,"[""M7""]",N/A_IS_LATENT,N/A_IS_LATENT,DNA damage and repair pathway (M7). Direct effect of chemotherapy and radiation. Drives cellular senescence via persistent damage foci. Proxied by γ-H2AX. Moderate-High evidence (1.15x SE multiplier).,Latent — proxied by NODE_BIO_GH2AX (primary),1,1
